,NAME,Player,Team,W,ERA,IP,HR,BB,SO,AVG,WHIP,NP,half_inning,NP_over_IP,SO_over_IP,BB_over_IP,RANK,TEAM,POS,SALARY,YEARS,TOTAL.VALUE,AVG.ANNUAL
246,"Severino, L"," Severino, L",NYY,3,5.83,71,11,25,66,0.275,1.45,1269,0,17.87323944,0.929577465,0.352112676,294,NYY,SP,"$521,300 ",1 (2016),"$521,300 ","$521,300 "
247,"Shaw, B"," Shaw, B",CLE,2,3.24,66.66666667,8,28,69,0.23,1.26,1158,0.666666667,17.37,1.035,0.42,157,CLE,RP,"$2,750,000 ",1 (2016),"$2,750,000 ","$2,750,000 "
248,"Shields, J"," Shields, J",CWS,6,5.85,181.6666667,40,82,135,0.288,1.6,3133,0.666666667,17.24587156,0.743119266,0.451376147,11,SD,SP,"$21,000,000 ",4 (2015-18),"$75,000,000 ","$18,750,000 "
249,"Shoemaker, M"," Shoemaker, M",LAA,9,3.88,160,18,30,143,0.266,1.23,2476,0,15.475,0.89375,0.1875,267,LAA,SP,"$530,000 ",1 (2016),"$530,000 ","$530,000 "
250,"Siegrist, K"," Siegrist, K",STL,6,2.77,61.66666667,10,26,66,0.193,1.1,1050,0.666666667,17.02702703,1.07027027,0.421621622,257,STL,RP,"$539,000 ",1 (2016),"$539,000 ","$539,000 "
251,"Simon, A"," Simon, A",CIN,2,9.36,58.66666667,15,31,39,0.349,2.05,1120,0.666666667,19.09090909,0.664772727,0.528409091,174,CIN,SP,"$2,000,000 ",1 (2016),"$2,000,000 ","$2,000,000 "
252,"Sipp, T"," Sipp, T",HOU,1,4.95,43.66666667,12,18,40,0.297,1.6,780,0.666666667,17.86259542,0.916030534,0.41221374,92,HOU,RP,"$6,000,000 ",3 (2016-18),"$18,000,000 ","$6,000,000 "
253,"Smith, J"," Smith, J",CIN,3,4.68,59.66666667,11,26,48,0.247,1.39,1042,0.666666667,17.46368715,0.804469274,0.43575419,103,LAA,RP,"$5,250,000 ",3 (2014-16),"$15,750,000 ","$5,250,000 "
254,"Smith, J"," Smith, J",CHC,2,3.46,52,8,18,40,0.246,1.25,815,0,15.67307692,0.769230769,0.346153846,103,LAA,RP,"$5,250,000 ",3 (2014-16),"$15,750,000 ","$5,250,000 "
255,"Smith, W"," Smith, W",SF,2,3.35,40.33333333,3,18,48,0.212,1.21,650,0.333333333,16.11570248,1.190082645,0.446280992,198,MIL,RP,"$1,475,000 ",1 (2016),"$1,475,000 ","$1,475,000 "
256,"Smyly, D"," Smyly, D",TB,7,4.88,175.3333333,32,49,167,0.259,1.27,2893,0.333333333,16.5,0.952471483,0.279467681,135,TB,SP,"$3,750,000 ",1 (2016),"$3,750,000 ","$3,750,000 "
257,"Soria, J"," Soria, J",KC,5,4.05,66.66666667,10,27,68,0.271,1.46,1193,0.666666667,17.895,1.02,0.405,77,KC,RP,"$7,000,000 ",3 (2016-18),"$25,000,000 ","$8,333,333 "
258,"Storen, D"," Storen, D",SEA,4,5.23,51.66666667,7,13,48,0.271,1.34,871,0.666666667,16.85806452,0.929032258,0.251612903,65,TOR,RP,"$8,375,000 ",1 (2016),"$8,375,000 ","$8,375,000 "
259,"Straily, D"," Straily, D",CIN,14,3.76,191.3333333,31,73,162,0.22,1.19,3061,0.333333333,15.99825784,0.846689895,0.381533101,356,CIN,RP,"$512,100 ",1 (2016),"$512,100 ","$512,100 "
260,"Strasburg, S"," Strasburg, S",WSH,15,3.6,147.6666667,15,44,183,0.218,1.1,2385,0.666666667,16.15124153,1.239277652,0.297968397,48,WSH,SP,"$10,400,000 ",1 (2016),"$10,400,000 ","$10,400,000 "
261,"Strickland, H"," Strickland, H",SF,3,3.1,61,4,19,57,0.221,1.13,1019,0,16.70491803,0.93442623,0.31147541,318,SF,RP,"$517,500 ",1 (2016),"$517,500 ","$517,500 "
262,"Stripling, R"," Stripling, R",LAD,5,3.96,100,10,30,74,0.25,1.26,1590,0,15.9,0.74,0.3,402,LAD,SP,"$507,500 ",1 (2016),"$507,500 ","$507,500 "
263,"Stroman, M"," Stroman, M",TOR,9,4.37,204,21,54,166,0.264,1.29,3102,0,15.20588235,0.81372549,0.264705882,330,TOR,SP,"$515,900 ",1 (2016),"$515,900 ","$515,900 "
